# Parlante: Polk_CSi25
# Re: 3.2 Ohms
# Rs: 10.0 Ohms
# Masa Agregada: 15.0 g
# Diametro: 10.8 cm
# Temp: 20.0 C
# Altitud: 600.0 m
# V_total: 1.0 V
# Frecuencia,V_AireLibre,V_MasaAgregada
20.0000,0.3388,0.3529
21.2494,0.3453,0.3612
22.5768,0.3523,0.3705
23.9871,0.3599,0.3810
25.4855,0.3683,0.3927
27.0775,0.3775,0.4060
28.7690,0.3877,0.4213
30.5661,0.3990,0.4390
32.4755,0.4117,0.4596
34.5042,0.4259,0.4840
36.6596,0.4422,0.5129
38.9497,0.4608,0.5470
41.3828,0.4822,0.5857
43.9679,0.5073,0.6249
46.7144,0.5366,0.6518
49.6326,0.5708,0.6502
52.7330,0.6095,0.6211
56.0271,0.6495,0.5816
59.5270,0.6803,0.5432
63.2456,0.6857,0.5097
67.1964,0.6619,0.4813
71.3940,0.6234,0.4573
75.8538,0.5836,0.4370
80.5922,0.5478,0.4196
85.6266,0.5168,0.4045
90.9756,0.4904,0.3914
96.6586,0.4678,0.3798
102.6967,0.4483,0.3695
109.1119,0.4313,0.3603
115.9279,0.4164,0.3520
123.1696,0.4032,0.3445
130.8638,0.3915,0.3377
139.0386,0.3809,0.3315
147.7240,0.3714,0.3257
156.9520,0.3627,0.3205
166.7564,0.3548,0.3156
177.1734,0.3476,0.3111
188.2410,0.3410,0.3069
200.0000,0.3348,0.3030
