# Parlante: XXXX
# Re: 3.3 Ohms
# Rs: 35 Ohms
# Masa Agregada: 25 g
# Diametro: 10.8 cm
# Temp: 20 C
# Altitud: 600 m
# V_total: 1 V
Frecuencia,V_AireLibre,V_MasaAgregada
20.0000,0.2200,0.3170
21.2494,0.0100,0.3150
22.5768,0.0090,0.2210
23.9871,0.0080,0.2880
25.4855,0.0080,0.2980
27.0775,0.0080,0.0160
28.7690,0.0080,0.0160
30.5661,0.0070,0.0160
32.4755,0.0070,0.0160
34.5042,0.0070,0.0160
36.6596,0.0070,0.0160
38.9497,0.0070,0.0160
41.3828,0.0070,0.0160
43.9679,0.0070,0.0160
46.7144,0.0070,0.0160
49.6326,0.0070,0.0160
52.7330,0.0070,0.0160
56.0271,0.0070,0.3010
59.5270,0.0070,0.5060
63.2456,0.0070,0.4880
67.1964,0.0070,0.3920
71.3940,0.0070,0.2960
75.8538,0.0070,0.5280
80.5922,0.0070,0.4540
85.6266,0.0060,0.1570
90.9756,0.0070,0.0360
96.6586,0.0070,0.2510
102.6967,0.0070,0.3280
109.1119,0.0070,0.2330
115.9279,0.0070,0.4580
123.1696,0.0070,0.0380
130.8638,0.0070,0.0380
139.0386,0.0070,0.3620
147.7240,0.0070,0.2600
156.9520,0.2620,0.0620
166.7564,0.2620,0.5430
177.1734,0.3690,0.4730
188.2410,0.4920,0.5400
200.0000,0.1050,0.5270
